GEOID,median_income,total_population,total_households,transit_score,is_transit_desert,transit_dependency_score,transit_dependency_weight,transit_hardship_index,vulnerability_segment,affected_workers_estimate,transit_dependent_population_estimate,forced_drive_commuters_estimate,ht_burdened_households_estimate,lost_wages_annual,healthcare_annual,environment_annual,education_annual,forgone_affordability_annual,cost_of_inaction_annual,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049003600,50128.0,1983.0,1180.0,0.0638,False,0.40703414502508584,1.407,55.03,High-need transit burden,61.0,443.6542372881356,57.11,264.0,22848.2,62591.43,21098.16,11364.23,0.0,117902.02,122182.15,380072.09,657210.48,0.0,51.75
39049003700,74712.0,3385.0,1662.0,0.0555,False,0.26183384682531985,1.2618,50.55,High-need transit burden,56.0,444.0012033694344,52.89,218.0,49374.02,46841.79,19572.01,21972.79,0.0,137760.61,142349.55,441505.16,761154.5,0.0,42.9
39049003800,73434.0,2513.0,1287.0,0.0325,False,0.20706031649254963,1.2071,48.62,High-need transit burden,100.0,148.3978243978244,96.75,219.0,45361.63,12651.91,35969.01,4016.86,0.0,97999.41,101103.83,313045.41,538704.12,0.0,51.89
39049004001,33980.0,1474.0,1150.0,0.021,False,0.3468133213052818,1.3468,56.63,High-need transit burden,83.0,306.33565217391305,81.26,292.0,9893.85,40188.18,30280.19,0.0,1867303.72,1947665.94,2006596.81,6203810.01,10658987.65,0.0,68.24
39049004002,68242.0,3392.0,2457.0,0.7749,False,0.4385640283086192,1.4386,43.17,"Lower-risk, better-served",562.0,978.8066748066748,126.51,709.0,437626.76,157625.94,40003.82,0.0,0.0,635256.52,658666.72,2049785.66,3545555.59,0.0,52.18
39049004200,60882.0,972.0,656.0,0.0383,False,0.22516060497345325,1.2252,50.9,High-need transit burden,5.0,82.97560975609755,4.81,143.0,2153.07,7661.82,1786.14,2256.25,301192.51,315049.79,324577.43,1003486.85,1724112.94,0.0,59.42
39049004301,76310.0,3012.0,1962.0,0.0051,False,0.1308480416363198,1.1308,48.32,Moderate hardship,35.0,38.379204892966364,34.82,371.0,19649.42,2703.49,13016.53,986.41,0.0,36355.85,37502.49,116099.96,199754.94,3.27,53.57
39049004302,69500.0,2472.0,726.0,0.0293,False,0.27910766879324467,1.2791,55.11,High-need transit burden,104.0,347.305785123967,100.95,116.0,133301.75,37888.8,37554.63,34506.18,0.0,243251.36,250974.86,777178.72,1337627.92,0.0,52.55
39049004500,51818.0,5015.0,2124.0,0.0077,False,0.2558231286453567,1.2558,52.49,High-need transit burden,52.0,408.47222222222223,51.6,215.0,23144.26,38298.07,19279.24,31159.3,0.0,111880.87,115270.22,356473.34,612767.27,0.0,47.81
39049004610,87731.0,3937.0,1750.0,0.0089,False,0.2648817672686779,1.2649,48.24,Moderate hardship,199.0,211.47314285714285,197.23,94.0,149067.49,18635.81,73673.08,16877.66,0.0,258254.04,266354.37,824448.67,1418292.65,0.0,35.93
