GEOID,median_income,total_commuters,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90plus_min,workers_16plus,workers_no_vehicle,commute_mode_total,transit_commuters,disability_pop,medicaid_total,medicaid_below_poverty,medicaid_above_poverty,median_gross_rent,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_not_computed,total_population,school_enrollment_public,educational_attainment_base,total_households,households_no_vehicle,pct_transit_commuters,pct_no_vehicle,pct_rent_burdened_severe,hourly_wage_estimate,disability_actual,school_age_pop_5_17,elderly_65plus,single_parent_hh
39049004302,69500.0,968.0,50.0,0.0,0.0,0.0,34.0,62.0,1100.0,104.0,1100.0,34.0,2472.0,2472.0,362.0,131.0,1159.0,34.0,28.0,54.0,17.0,2472.0,691.0,1356.0,726.0,102.0,0.0309,0.0945,0.0744,33.41,281.0,835.0,65.0,145.0
39049004500,51818.0,2036.0,132.0,0.0,171.0,52.0,29.0,0.0,2254.0,52.0,2269.0,28.0,4992.0,4992.0,164.0,312.0,1000.0,60.0,129.0,26.0,331.0,5015.0,1019.0,3638.0,2124.0,173.0,0.0123,0.0231,0.0122,24.91,866.0,768.0,511.0,76.0
39049004610,87731.0,1575.0,220.0,25.0,0.0,44.0,19.0,15.0,2157.0,11.0,2159.0,199.0,3937.0,3937.0,175.0,151.0,867.0,81.0,0.0,0.0,166.0,3937.0,707.0,3010.0,1750.0,94.0,0.0922,0.0051,0.0,42.18,672.0,413.0,677.0,165.0
39049004620,58712.0,889.0,161.0,9.0,0.0,0.0,16.0,25.0,1009.0,34.0,1009.0,28.0,2390.0,2390.0,396.0,183.0,1271.0,49.0,30.0,0.0,111.0,2390.0,446.0,1543.0,848.0,117.0,0.0278,0.0337,0.0,28.23,360.0,346.0,227.0,201.0
39049004700,50737.0,2416.0,339.0,127.0,0.0,213.0,31.0,9.0,2615.0,119.0,2615.0,80.0,5911.0,5911.0,508.0,603.0,1251.0,93.0,187.0,139.0,410.0,5911.0,1783.0,3429.0,1997.0,288.0,0.0306,0.0455,0.0696,24.39,785.0,1621.0,338.0,299.0
39049004810,65282.0,1318.0,186.0,149.0,21.0,0.0,45.0,23.0,1447.0,108.0,1447.0,77.0,2510.0,2510.0,53.0,171.0,1545.0,0.0,92.0,0.0,84.0,2510.0,407.0,2010.0,1173.0,118.0,0.0532,0.0746,0.0,31.39,603.0,339.0,340.0,91.0
39049004820,43672.0,999.0,42.0,0.0,39.0,0.0,103.0,15.0,1150.0,11.0,1150.0,73.0,2509.0,2509.0,420.0,239.0,1210.0,40.0,33.0,0.0,159.0,2509.0,728.0,1572.0,963.0,62.0,0.0635,0.0096,0.0,21.0,588.0,585.0,190.0,151.0
39049004900,42600.0,2297.0,207.0,60.0,102.0,66.0,0.0,203.0,2336.0,338.0,2340.0,205.0,5757.0,5757.0,754.0,720.0,1150.0,86.0,132.0,127.0,497.0,5757.0,1544.0,3799.0,2246.0,376.0,0.0876,0.1447,0.0565,20.48,1304.0,1295.0,522.0,433.0
39049005001,56397.0,555.0,23.0,0.0,0.0,58.0,6.0,0.0,676.0,33.0,711.0,23.0,1706.0,1706.0,133.0,130.0,963.0,11.0,32.0,40.0,80.0,1814.0,563.0,1059.0,649.0,104.0,0.0323,0.0488,0.0616,27.11,545.0,329.0,299.0,96.0
39049005002,21469.0,1113.0,100.0,0.0,0.0,0.0,26.0,95.0,1232.0,307.0,1232.0,76.0,3995.0,3995.0,508.0,318.0,967.0,0.0,0.0,85.0,411.0,3995.0,1150.0,2384.0,1655.0,505.0,0.0617,0.2492,0.0514,10.32,1202.0,999.0,559.0,218.0
