GEOID,affected_workers_estimate,lost_wages_annual,transit_dependent_population_estimate,healthcare_annual,forced_drive_commuters_estimate,environment_annual,education_annual,ht_burdened_households_estimate,forgone_affordability_annual,cost_of_inaction_annual,annual_cost_year_1,annual_cost_year_2,annual_cost_year_3,annual_cost_year_4,annual_cost_year_5,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049004302,104.0,133301.75,347.305785123967,37888.8,100.95,37554.63,34506.18,116.0,0.0,243251.36,250974.86,258966.81,267237.05,275795.74,284653.46,250974.86,777178.72,1337627.92,0.0,52.55
39049004500,52.0,23144.26,408.47222222222223,38298.07,51.6,19279.24,31159.3,215.0,0.0,111880.87,115270.22,118782.02,122421.1,126192.49,130101.44,115270.22,356473.34,612767.27,0.0,47.81
39049004610,199.0,149067.49,211.47314285714285,18635.81,197.23,73673.08,16877.66,94.0,0.0,258254.04,266354.37,274723.53,283370.77,292305.71,301538.27,266354.37,824448.67,1418292.65,0.0,35.93
39049004620,34.0,24467.0,329.752358490566,37415.91,33.74,12606.23,14951.19,117.0,0.0,89440.33,92474.96,95625.36,98896.22,102292.4,105819.0,92474.96,286996.54,495107.94,0.0,46.34
39049004700,119.0,80257.63,852.4626940410616,95149.91,117.63,43916.49,68003.44,419.0,988224.27,1275551.74,1314203.18,1354072.27,1395198.58,1437623.06,1481387.99,1314203.18,4063474.03,6982485.08,0.0,61.25
39049004810,108.0,111341.1,252.49786871270246,26543.78,106.62,39795.6,14740.71,118.0,0.0,192421.19,198684.38,205164.7,211870.01,218808.42,225988.38,198684.38,615719.09,1060515.89,0.0,44.0
39049004820,73.0,62358.65,161.53478712357216,14995.14,72.07,26899.91,24507.63,73.0,453492.82,582254.15,599682.86,617646.81,636162.74,655247.94,674920.24,599682.86,1853492.41,3183660.59,14.84,46.96
39049004900,338.0,385509.39,963.7720391807659,122640.55,319.88,118417.5,59067.54,376.0,1843277.7,2528912.68,2606891.91,2687333.21,2770315.99,2855922.31,2944236.92,2606891.91,8064541.11,13864700.34,0.0,57.39
39049005001,33.0,20913.96,290.68721109399075,38147.47,31.32,11600.56,15700.44,104.0,0.0,86362.43,89289.47,92328.9,95485.28,98763.4,102168.23,89289.47,277103.65,478035.28,0.0,51.21
39049005002,307.0,181826.83,1219.0181268882177,226309.49,292.91,108602.18,52137.66,505.0,8116450.89,8685327.05,8948709.15,9220152.45,9499906.31,9788227.89,10085382.43,8948709.15,27668767.91,47542378.23,15.39,49.51
39049005100,105.0,40016.6,711.0104849279162,136679.23,103.66,38690.79,25000.6,229.0,2033668.13,2274055.35,2343883.82,2415896.16,2490162.12,2566753.69,2645745.24,2343883.82,7249942.1,12462441.03,51.44,64.03
39049005200,109.0,39019.42,176.39242350655658,13959.98,105.52,39234.19,4732.0,215.0,0.0,96945.59,99977.11,103109.9,106347.52,109693.68,113152.21,99977.11,309434.53,532280.42,0.0,39.38
39049005300,154.0,105084.9,418.28658008658005,49049.2,142.6,52571.88,14956.29,179.0,0.0,221662.27,229041.23,236683.25,244598.16,252796.16,261287.85,229041.23,710322.64,1224406.65,8.35,50.73
39049005410,142.0,294791.61,494.5044359949303,77164.08,140.55,52487.22,18140.25,206.0,168781.8,611364.96,631748.37,652836.47,674654.35,697228.01,720584.38,631748.37,1959239.19,3377051.58,0.0,61.35
39049005420,58.0,26093.3,351.8441558441558,44502.02,57.74,21587.15,23417.82,162.0,44056.54,159656.83,164715.08,169951.92,175374.09,180988.62,186802.77,164715.08,510041.09,877832.48,0.0,61.57
39049005500,159.0,146760.84,744.8466019417475,94025.25,153.83,57189.79,33579.78,420.0,0.0,331555.66,342756.13,354367.36,366405.16,378885.98,391826.91,342756.13,1063528.65,1834241.54,10.59,60.47
39049005610,10.0,6786.53,54.59308510638298,3964.94,9.77,3639.17,5810.82,146.0,0.0,20201.46,20778.12,21374.23,21990.52,22627.73,23286.63,20778.12,64142.87,110057.23,0.0,54.73
39049005620,54.0,54561.75,306.8344370860927,34446.46,53.28,19884.21,9846.61,143.0,216106.88,334845.91,345404.13,356307.29,367567.02,379195.38,391204.82,345404.13,1069278.44,1839678.64,0.0,50.84
39049005700,43.0,12814.41,102.45908889871738,7455.29,40.81,15115.54,4354.95,192.0,0.0,39740.19,40954.33,42209.34,43506.69,44847.91,46234.59,40954.33,126670.36,217752.86,3.08,32.78
39049005810,26.0,27141.82,56.332905708787685,3939.05,25.77,9626.1,3908.52,131.0,0.0,44615.49,46030.27,47492.85,49004.91,50568.2,52184.52,46030.27,142528.03,245280.75,0.0,38.22
39049005820,29.0,45050.64,230.8985507246377,23500.45,28.81,10767.05,8193.15,141.0,0.0,87511.29,90513.08,93625.55,96852.96,100199.73,103670.47,90513.08,280991.59,484861.79,0.0,44.38
39049005900,147.0,112957.21,523.1641949152543,76634.37,144.47,53875.43,21707.09,209.0,122457.24,387631.34,400314.48,413438.18,427018.46,441071.94,455615.86,400314.48,1240771.12,2137458.92,0.0,59.59
39049006000,67.0,35822.51,214.21517553793882,21481.02,65.89,24574.51,11847.57,160.0,532412.57,626138.18,645087.52,664620.49,684755.34,705510.94,726906.75,645087.52,1994463.35,3426881.04,0.0,57.52
39049006100,74.0,37410.99,446.7279860505667,57071.45,73.62,27520.87,14209.81,248.0,0.0,136213.12,140949.26,145866.04,150970.73,156270.88,161774.38,140949.26,437786.03,755831.29,0.0,61.36
39049006236,0.0,0.0,0.0,0.0,0.0,0.0,56623.95,0.0,0.0,56623.95,57303.44,57991.08,58686.97,59391.22,60103.91,57303.44,173981.49,293476.62,0.0,11.26
39049006237,424.0,1051065.91,889.8888182973316,92074.48,416.96,155510.5,62672.39,390.0,0.0,1361323.28,1406893.77,1454044.48,1502831.42,1553312.58,1605548.07,1406893.77,4363769.67,7522630.32,0.0,40.81
39049006238,36.0,52829.6,60.377088305489266,4674.56,34.99,13019.85,15103.14,65.0,0.0,85627.15,88193.28,90843.89,93581.93,96410.4,99332.45,88193.28,272619.1,468361.95,4.51,36.23
39049006239,0.0,0.0,0.0,0.0,0.0,0.0,44155.31,442.0,0.0,44155.31,44685.17,45221.4,45764.05,46313.22,46868.98,44685.17,135670.62,228852.82,0.0,46.28
39049006240,43.0,58748.36,121.3240418118467,8720.35,43.0,16090.82,14798.19,115.0,0.0,98357.72,101386.18,104516.45,107752.12,111096.92,114554.7,101386.18,313654.75,539306.37,3.0,34.56
39049006241,100.0,69076.55,558.863545816733,46124.01,100.0,37420.5,48284.8,582.0,0.0,200905.86,206914.05,213130.6,219563.34,226220.42,233110.3,206914.05,639607.99,1098938.71,4.33,44.21
39049006301,18.0,20691.57,92.38636363636364,7339.45,18.0,6735.69,16648.63,90.0,0.0,51415.34,52838.0,54307.47,55825.45,57393.69,59014.01,52838.0,162970.92,279378.62,5.03,36.61
39049006302,19.0,14366.01,155.6578947368421,12197.74,18.93,7078.32,32368.04,372.0,0.0,66010.11,67627.19,69295.66,71017.4,72794.4,74628.68,67627.19,207940.25,355363.33,0.0,52.42
39049006310,4.0,3592.5,4.0,274.46,4.0,1496.82,37833.81,0.0,0.0,43197.59,43827.1,44467.96,45120.42,45784.77,46461.28,43827.1,133415.48,225661.53,0.0,10.97
39049006321,8.0,12641.18,110.48150470219436,8408.88,7.91,2953.15,41663.4,41.0,0.0,65666.61,67061.24,68496.23,69973.0,71493.04,73057.89,67061.24,205530.47,350081.4,0.0,19.53
39049006323,15.0,11506.98,55.142496847414876,4020.45,14.5,5389.94,24297.74,27.0,0.0,45215.11,46225.1,47264.19,48333.37,49433.66,50566.13,46225.1,141822.66,241822.45,0.0,24.88
39049006330,30.0,33907.6,34.74159558454591,2367.1,28.97,10766.13,28128.11,15.0,0.0,75168.94,77068.92,79026.0,81042.08,83119.11,85259.11,77068.92,237137.0,405515.22,0.0,18.35
39049006340,142.0,179709.05,317.08211330362826,29753.35,142.0,53137.11,24286.12,142.0,0.0,286885.63,296134.21,305699.89,315593.96,325828.12,336414.51,296134.21,917428.06,1579670.69,0.0,27.86
39049006351,18.0,10783.58,150.828515433611,12530.95,17.84,6663.93,19311.57,207.0,0.0,49290.03,50629.69,52014.87,53447.33,54928.87,56461.39,50629.69,156091.89,267482.15,0.0,46.43
39049006352,142.0,58511.23,174.04641775983853,13524.37,139.83,52164.97,4882.51,524.0,0.0,129083.08,133102.28,137253.86,141542.36,145972.53,150549.26,133102.28,411898.5,708420.29,0.0,64.02
39049006353,177.0,75216.04,527.7965924895689,52084.21,171.25,63666.07,19532.3,482.0,184072.75,394571.37,406895.94,419626.39,432776.7,446361.32,460395.25,406895.94,1259299.03,2166055.6,0.0,55.62
39049006372,45.0,22028.7,285.7719806763285,22307.15,44.31,16530.29,56088.11,524.0,0.0,116954.25,119815.39,122767.1,125812.7,128955.67,132199.6,119815.39,368395.19,629550.46,0.0,53.95
39049006384,170.0,164468.49,363.3035367275554,30828.97,167.18,62351.89,37768.5,272.0,0.0,295417.85,304573.57,314037.6,323820.84,333934.6,344390.57,304573.57,942432.01,1620757.18,0.0,40.5
39049006386,312.0,434923.46,753.881672900374,81684.42,304.23,113277.44,26074.38,406.0,0.0,655959.7,678002.65,700818.34,724434.69,748880.62,774186.16,678002.65,2103255.68,3626322.46,6.93,44.49
39049006387,23.0,17838.71,549.2820687308608,52675.78,22.91,8566.52,32523.85,302.0,0.0,111604.86,115204.07,118941.85,122823.93,126856.33,131045.31,115204.07,356969.85,614871.49,0.0,43.09
39049006391,11.0,15516.37,24.524886877828056,1636.89,11.0,4116.26,49428.02,26.0,0.0,70697.54,72010.32,73355.1,74732.87,76144.61,77591.35,72010.32,220098.29,373834.25,0.0,14.59
39049006392,13.0,10934.88,13.0,912.91,12.94,4837.85,31573.79,0.0,0.0,48259.43,49183.06,50129.51,51099.46,52093.6,53112.67,49183.06,150412.03,255618.3,0.0,17.39
39049006393,0.0,0.0,340.07244995233555,29442.32,0.0,0.0,44213.19,128.0,0.0,73655.51,75510.97,77432.42,79422.62,81484.44,83620.9,75510.97,232366.01,397471.35,0.0,30.06
39049006394,0.0,0.0,28.254996003197444,1978.03,0.0,0.0,11295.85,50.0,0.0,13273.88,13498.44,13728.64,13964.66,14206.73,14455.05,13498.44,41191.74,69853.52,0.0,34.1
39049006395,26.0,19849.82,42.20472813238771,2906.2,25.2,9372.25,10377.06,100.0,0.0,42505.33,43689.68,44911.59,46172.33,47473.23,48815.66,43689.68,134773.6,231062.49,0.0,37.36
39049006396,159.0,145938.18,458.9543536632144,44039.02,156.27,58275.85,33612.92,377.0,0.0,281865.97,290815.81,300074.87,309654.39,319566.02,329821.87,290815.81,900545.07,1549932.96,0.0,48.05
39049006397,186.0,73794.39,235.01892505677515,18726.41,184.1,68750.6,58516.85,541.0,0.0,219788.25,225634.71,231660.88,237872.82,244276.77,250879.24,225634.71,695168.41,1190324.42,4.97,57.28
39049006398,60.0,137584.95,215.195987654321,18010.86,59.84,22380.78,35150.9,77.0,0.0,213127.49,219734.78,226566.14,233629.51,240933.13,248485.55,219734.78,679930.43,1169349.11,0.0,24.78
39049006410,0.0,0.0,0.0,0.0,0.0,0.0,23968.12,43.0,0.0,23968.12,24255.74,24546.81,24841.37,25139.46,25441.14,24255.74,73643.92,124224.52,0.0,24.29
39049006430,188.0,114787.67,349.6589452932479,30261.76,178.66,66190.92,44665.13,231.0,0.0,255905.48,263475.58,271295.38,279373.67,287719.55,296342.48,263475.58,814144.63,1398206.66,0.0,37.12
39049006500,20.0,18906.91,53.69254658385093,3679.86,19.67,7336.18,40483.83,18.0,0.0,70406.78,71903.33,73440.9,75020.83,76644.5,78313.33,71903.33,220365.06,375322.89,0.0,16.86
39049006600,10.0,13285.87,103.89980855137206,7844.77,9.46,3502.03,30835.83,141.0,0.0,55468.5,56744.1,58058.49,59413.06,60809.27,62248.6,56744.1,174215.65,297273.52,0.0,17.14
39049006710,6.0,2346.97,130.26303501945526,10711.05,5.96,2227.41,17430.94,139.0,0.0,32716.37,33545.37,34402.83,35289.91,36207.78,37157.69,33545.37,103238.11,176603.58,0.0,40.2
