AREA_TITLE,OCC_CODE,OCC_TITLE,H_MEAN,H_MEDIAN,A_MEAN,A_MEDIAN
"Cincinnati, OH-KY-IN",51-6052,"Tailors, Dressmakers, and Custom Sewers",20.02,20.01,41640.0,41630.0
"Cincinnati, OH-KY-IN",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",22.71,25.31,47240.0,52650.0
"Cincinnati, OH-KY-IN",51-6093,Upholsterers,20.57,21.02,42780.0,43720.0
"Cincinnati, OH-KY-IN",51-6099,"Textile, Apparel, and Furnishings Workers, All Other",20.38,20.07,42400.0,41750.0
"Cincinnati, OH-KY-IN",51-7011,Cabinetmakers and Bench Carpenters,23.39,23.52,48650.0,48920.0
"Cincinnati, OH-KY-IN",51-7021,Furniture Finishers,21.08,22.06,43850.0,45870.0
"Cincinnati, OH-KY-IN",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",22.59,22.81,46990.0,47440.0
"Cincinnati, OH-KY-IN",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",20.45,19.34,42530.0,40220.0
"Cincinnati, OH-KY-IN",51-8012,Power Distributors and Dispatchers,47.11,49.98,97980.0,103960.0
"Cincinnati, OH-KY-IN",51-8013,Power Plant Operators,43.64,49.49,90770.0,102950.0
"Cincinnati, OH-KY-IN",51-8021,Stationary Engineers and Boiler Operators,36.26,37.54,75420.0,78080.0
"Cincinnati, OH-KY-IN",51-8031,Water and Wastewater Treatment Plant and System Operators,27.78,28.59,57790.0,59470.0
"Cincinnati, OH-KY-IN",51-8092,Gas Plant Operators,33.73,30.49,70160.0,63430.0
"Cincinnati, OH-KY-IN",51-8099,"Plant and System Operators, All Other",29.68,29.39,61740.0,61130.0
"Cincinnati, OH-KY-IN",51-9011,Chemical Equipment Operators and Tenders,29.87,28.32,62140.0,58910.0
"Cincinnati, OH-KY-IN",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",24.67,23.09,51310.0,48020.0
"Cincinnati, OH-KY-IN",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",20.21,19.02,42040.0,39570.0
"Cincinnati, OH-KY-IN",51-9022,"Grinding and Polishing Workers, Hand",21.2,21.6,44090.0,44930.0
"Cincinnati, OH-KY-IN",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",25.35,23.68,52730.0,49260.0
"Cincinnati, OH-KY-IN",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",22.68,22.3,47170.0,46390.0
"Cincinnati, OH-KY-IN",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",21.88,21.4,45500.0,44510.0
"Cincinnati, OH-KY-IN",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",21.78,18.48,45300.0,38440.0
"Cincinnati, OH-KY-IN",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",23.53,22.4,48940.0,46590.0
"Cincinnati, OH-KY-IN",51-9071,Jewelers and Precious Stone and Metal Workers,23.0,22.07,47850.0,45900.0
"Cincinnati, OH-KY-IN",51-9081,Dental Laboratory Technicians,24.87,23.32,51730.0,48500.0
"Cincinnati, OH-KY-IN",51-9111,Packaging and Filling Machine Operators and Tenders,21.42,20.47,44560.0,42580.0
"Cincinnati, OH-KY-IN",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",23.86,22.86,49640.0,47550.0
"Cincinnati, OH-KY-IN",51-9161,Computer Numerically Controlled Tool Operators,24.71,23.96,51390.0,49840.0
"Cincinnati, OH-KY-IN",51-9162,Computer Numerically Controlled Tool Programmers,34.84,32.73,72460.0,68080.0
"Cincinnati, OH-KY-IN",51-9191,Adhesive Bonding Machine Operators and Tenders,22.36,19.52,46500.0,40600.0
"Cincinnati, OH-KY-IN",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",19.44,18.39,40440.0,38240.0
"Cincinnati, OH-KY-IN",51-9194,Etchers and Engravers,21.71,19.61,45170.0,40780.0
"Cincinnati, OH-KY-IN",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",22.31,22.87,46400.0,47570.0
"Cincinnati, OH-KY-IN",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",25.29,24.49,52590.0,50930.0
"Cincinnati, OH-KY-IN",51-9197,Tire Builders,21.34,21.71,44380.0,45150.0
"Cincinnati, OH-KY-IN",51-9198,Helpers--Production Workers,20.95,20.87,43580.0,43400.0
"Cincinnati, OH-KY-IN",51-9199,"Production Workers, All Other",20.07,18.84,41740.0,39190.0
"Cincinnati, OH-KY-IN",53-0000,Transportation and Material Moving Occupations,22.97,20.64,47770.0,42920.0
"Cincinnati, OH-KY-IN",53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",31.45,29.87,65420.0,62140.0
"Cincinnati, OH-KY-IN",53-2012,Commercial Pilots,,,128740.0,119410.0
"Cincinnati, OH-KY-IN",53-2021,Air Traffic Controllers,64.68,65.18,134530.0,135570.0
"Cincinnati, OH-KY-IN",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",16.44,14.81,34190.0,30800.0
"Cincinnati, OH-KY-IN",53-3031,Driver/Sales Workers,19.26,18.0,40060.0,37450.0
"Cincinnati, OH-KY-IN",53-3032,Heavy and Tractor-Trailer Truck Drivers,30.56,28.37,63560.0,59010.0
"Cincinnati, OH-KY-IN",53-3033,Light Truck Drivers,24.16,21.03,50250.0,43750.0
"Cincinnati, OH-KY-IN",53-3051,"Bus Drivers, School",23.75,22.68,49400.0,47170.0
"Cincinnati, OH-KY-IN",53-3052,"Bus Drivers, Transit and Intercity",25.74,26.49,53540.0,55100.0
"Cincinnati, OH-KY-IN",53-3053,Shuttle Drivers and Chauffeurs,17.17,16.06,35720.0,33400.0
"Cincinnati, OH-KY-IN",53-3099,"Motor Vehicle Operators, All Other",17.3,16.37,35980.0,34050.0
"Cincinnati, OH-KY-IN",53-6021,Parking Attendants,15.67,15.73,32590.0,32710.0
"Cincinnati, OH-KY-IN",53-6031,Automotive and Watercraft Service Attendants,16.79,17.13,34920.0,35630.0
"Cincinnati, OH-KY-IN",53-6032,Aircraft Service Attendants,20.0,18.19,41600.0,37830.0
"Cincinnati, OH-KY-IN",53-6051,Transportation Inspectors,51.83,59.1,107800.0,122920.0
"Cincinnati, OH-KY-IN",53-7011,Conveyor Operators and Tenders,23.01,21.99,47860.0,45740.0
"Cincinnati, OH-KY-IN",53-7021,Crane and Tower Operators,34.07,31.46,70860.0,65430.0
"Cincinnati, OH-KY-IN",53-7051,Industrial Truck and Tractor Operators,23.27,22.22,48400.0,46220.0
"Cincinnati, OH-KY-IN",53-7061,Cleaners of Vehicles and Equipment,17.85,17.53,37120.0,36470.0
"Cincinnati, OH-KY-IN",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",20.27,19.54,42170.0,40640.0
"Cincinnati, OH-KY-IN",53-7063,Machine Feeders and Offbearers,20.98,19.0,43640.0,39520.0
"Cincinnati, OH-KY-IN",53-7064,"Packers and Packagers, Hand",17.73,17.59,36880.0,36580.0
"Cincinnati, OH-KY-IN",53-7065,Stockers and Order Fillers,18.92,17.79,39360.0,37010.0
"Cincinnati, OH-KY-IN",53-7081,Refuse and Recyclable Material Collectors,23.77,23.72,49430.0,49340.0
"Cincinnati, OH-KY-IN",53-7121,"Tank Car, Truck, and Ship Loaders",25.42,24.89,52870.0,51780.0
"Cincinnati, OH-KY-IN",53-7199,"Material Moving Workers, All Other",22.92,19.8,47670.0,41190.0
